"","Name","Location","YearRound","Handicap","Borough","Lat","Lon"
"213","Flushing Meadows Corona Park (Playground for All Children)","111 Street and Corona Avenue","Yes","Yes","Queens",40.7406704,-73.8501755
"217","Forest Park (Dry Harbour Playground)","80 Street & Myrtle Avenue","Yes","No","Queens",21.9801519,96.0843135
"218","Forest Park (Jackson Pond Playground)","108 Street and Park Lane South","Yes","No","Queens",40.7009165,-73.8421344
"220","Forest Park (Sobelsohn Playground, The Overlook)","Park Lane South and Abingdon Road","Yes","No","Queens",40.7096359,-73.834812
"223","Forest Park (Victory Field)","Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street","Yes","No","Queens",40.789142,-73.134961
"224","Forest Park (Visitor Center, near the Carousel)","Woodhaven Boulevard and Forest Park Drive","Yes","No","Queens",40.700542,-73.8546456
"226","Fort Greene Playground","Myrtle Avenue & St. Edwards Plaza","Yes","Yes","Brooklyn",40.699841,-73.908683
"227","Fort Independence Playground","Stevenson Place, West 238 Street, Sedgwick Avenue","Yes","No","Bronx",34.8686932,-85.8394199
"228","Fort Tryon Park (Anne Loftus Playground)","Broadway & Dyckman Street","Yes","Yes","Manhattan",41.1115472,-73.8583806
"229","Fort Tryon Park (Café)","One Margaret Corbin Drive","No","No","Manhattan",40.8608206,-73.9327696
"230","Fort Tryon Park (The Cloisters)","Riverside Drive to Broadway, West 192 to Dyckman streets","Yes","No","Manhattan",40.8158821,-73.9623705
"231","Fort Washington Park (Lily Brown Playground)","West 162 Street, east of Riverside Drive","Yes","Yes","Manhattan",35.5888502,-82.5700538
"232","Fox Playground","Avenue H, East 54 to E 55 streets","Yes","Yes","Brooklyn",36.1259239,-111.2178871
"233","Francis Lewis Playground","3 Avenue and Bronx Whitestone Bridge","Yes","No","Queens",40.7955686,-73.8258891
"234","Frank D. O'Connor Playground","Broadway & 78 Street","Yes","No","Queens",41.1115472,-73.8583806
"235","Frank Golden Park","132 to 138 streets, 14 Road","Yes","No","Queens",30.1598852,31.6220415
"237","Frederick B. Judge Memorial Playground","111 Avenue, 134 & 135 streets, Lincoln Street","Yes","No","Queens",53.5587088,-113.5819341
"238","Frederick Douglass Playground","West 100-101 Street Amsterdam Avenue","Yes","No","Manhattan",41.1998987,-73.2103157
"239","Frederick E. Samuel Playground","Lenox Avenue, West 139 to West 140 streets","Yes","No","Manhattan",38.6727119,-90.2934383
"240","Frederick Johnson Park","7 Avenue, West 150-151 streets","Yes","No","Manhattan",37.7891138,-89.5307414
"241","Fresh Meadows Playground (PS 173)","67 Avenue & 173 Street","Yes","No","Queens",25.9478599,-80.3073243
"244","Galapo Playground","Bedford Avenue, Gravesend Neck Road","Yes","No","Brooklyn",40.6081026,-73.9481894
"245","Garibaldi Playground","82 to 83 Street at 18 Avenue","Yes","No","Brooklyn",32.5673669,-114.6840579
"246","General Douglas MacArthur Park","East 49 Street & East River Drive","Yes","No","Manhattan",25.8671713,-80.2711956
"247","Glenwood Playground","Ralph Avenue & Farragut Road","Yes","Yes","Brooklyn",40.634696,-73.9188247
"248","Gorman Playground","30 Avenue between 84 & 85 streets","Yes","No","Queens",51.3299758,-0.4134902
"249","Gouverneur Playground","3rd Avenue, St. Paul's Place, East 170 Street","Yes","No","Bronx",27.7749317,-82.6351014
"250","Gowanus Playground","Wyckoff Street between Bond & Hoyt streets","Yes","No","Brooklyn",41.0095316,-74.1729106
"252","Gravesend Park","18 Avenue & 56 Street","Yes","No","Brooklyn",47.9330656,-97.3115371
"254","Greene Playground","Greene & Washington avenues","Yes","No","Brooklyn",39.697399,-83.8897057
"255","Greenwood Playground","Fort Hamilton Parkway, Greenwood, East 5 Street","Yes","No","Brooklyn",40.6094454,-74.0285434
"259","Gunn Park (PS 18)","Hillside Avenue, east of 235 Court","No","No","Queens",41.7459008,-72.6983756
"262","Haggerty Park","202 Street & Jamaica Avenue","No","Yes","Queens",44.4745123,-103.3163374
"263","Hallets Cove Playground","Hallets Cove, Vernon Boulevard","Yes","No","Queens",40.7717904,-73.9343288
"264","Hamilton Fish Park (Recreation Center)","Between East Houston & Stanton streets","Yes","Yes","Manhattan",29.425102,-98.47566
"265","Hamilton-Metz Field","Albany, East New York, Lefferts avenues","Yes","No","Brooklyn",42.6525793,-73.7562317
"266","Hammel Playground","Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.","No","Yes","Queens",40.5831381,-73.8226613
"267","Hansborough Recreation Center","35 West 134 Street","Yes","No","Manhattan",35.3343358,-97.5128357
"268","Happy Warrior Playground","West 98 Street & Amsterdam Avenue","Yes","No","Manhattan",44.8263946,-93.3188017
"269","Harold Schneiderman Playground (PS 232)","155 Avenue & 83 Street","Yes","Yes","Queens",41.6400998,-90.5980213
"271","Harry Maze Memorial Park","Avenue D between East 56 & East 57 Street","Yes","No","Brooklyn",51.732512,-1.2171341
"272","Hart Playground","37 Avenue, west of 69 Street","Yes","No","Queens",32.0573306,-81.1011989
"274","Hattie Carthan Playground","East of Marcy Street","Yes","No","Brooklyn",35.6885097,-105.9352118
"279","Herman Dolgon Playground","Avenue V & Nostrand Avenue","Yes","No","Brooklyn",40.5972985,-73.9505267
"281","High Rock Park","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",37.9752082,-122.360827
"282","High Rock Park (Education Building)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",37.9752082,-122.360827
"283","High Rock Park (McArthur Park)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","Yes","Staten Island",37.9752082,-122.360827
"284","High Rock Park (Visitor Center)","Richmond Parkway & Moravian Cemetery at Rockland Avenue","Yes","No","Staten Island",37.9752082,-122.360827
"285","Highbridge Park (Quisqueya Playground)","West 180 Street & Amsterdam Avenue","Yes","No","Manhattan",40.4554989,-94.1199107
"286","Highbridge Park (Recreation Center)","West 155 & Dyckman streets, Edgecombe & Amsterdam avenues","Yes","No","Manhattan",10.370623,-85.6372166
"287","Highbridge Park (Wallenberg Playground)","West 188 Street & Amsterdam Avenue","Yes","Yes","Manhattan",33.8598323,-118.3324814
"288","Highbridge Park-Wallenberg Playground","W 189 St & Amsterdam Ave","No","Yes","Manhattan",38.7243863,-95.8158755
"290","Hoffman Park","Hoffman Drive west of Queens Boulevard","Yes","No","Queens",40.7337976,-73.8721667
"291","Holcombe Rucker","West 155 Street, 8 Avenue to Harlem River Drive","Yes","No","Manhattan",40.8280552,-73.9346918
"292","Hollis Playground (JHS 192)","205 Street & Hollis Avenue","No","No","Queens",44.414235,-98.2489349
"293","Holy Cow Playground (PS 179)","Peck Avenue & Harding Boulevard","No","No","Queens",40.9852219,-73.6771619
"294","Hoover Playground","Manton Street & 83 Avenue","Yes","No","Queens",39.9373794,-75.1802915
"296","Horseshoe Playground","Hall Place, Rogers Place, East 165 Street","Yes","No","Bronx",42.3669786,-71.0864226
"298","Hunts Point Playground","Spofford Avenue, Hunts Point Avenue, Faile Street","Yes","No","Bronx",40.8144125,-73.8868227
"300","Inwood Hill Park (Payson Playground)","Payson & Dyckman streets","Yes","No","Manhattan",34.2308684,-111.3251355
"301","Inwood Hill Park (Tennis Courts)","Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street","Yes","No","Manhattan",37.2905087,-76.7298653
"302","J. Hood Wright Park","Ft. Washington & Haven avenues, West 173 Street","Yes","Yes","Manhattan",38.7073379,-77.0230313
"305","Jackie Robinson Park","West 149 Street & Bradhurst Avenue","Yes","No","Manhattan",38.7967381,-95.7502707
"306","Jackie Robinson Park (Playground One Fifty Two CLII)","West 152 Street & Bradhurst Avenue","Yes","No","Manhattan",35.9422516,-97.0968412
"307","Jackie Robinson Park (Recreation Center)","Bradhurst & Edgecombe avenues,West 145 to West 155 streets","Yes","Yes","Manhattan",41.0897353,-73.801493
"308","Jackie Robinson Playground","Sullivan Place & Franklin Avenue, Montgomery Street","Yes","No","Brooklyn",40.6643685,-73.9560187
"309","Jacob Schiff Playground (PS 192)","Amsterdam Avenue, West 136 Street","Yes","No","Manhattan",41.2004328,-73.2103811
