OBJECTID,the_geom,Boro,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
286,POINT (-73.77590000000079 40.726799999882395),QU,Limited Free,TimeWarner,Cunningham Park,Playground at 193rd St and Aberdeen Rd,40.7267999999,-73.7759,1046363.58639,204148.845689,,,Queens,
287,POINT (-73.77478600044886 40.68751300017629),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B3,40.6875130002,-73.7747860004,1046709.15197,189836.248986,,,Queens,
288,POINT (-73.77400000002307 40.72999999983091),QU,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.7299999998,-73.774,1046887.19853,205316.054313,,,Queens,
289,POINT (-73.77389999964764 40.729899999829975),QU,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.7298999998,-73.7738999996,1046915.00819,205279.692837,,,Queens,
290,POINT (-73.77380000043553 40.73009999974754),QU,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.7300999997,-73.7738000004,1046942.53536,205352.630355,,,Queens,
291,POINT (-73.7737560003646 40.68813099975454),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B4,40.6881309998,-73.7737560004,1046994.22227,190062.139611,,,Queens,
292,POINT (-73.77369999962919 40.73130000037373),QU,Limited Free,TimeWarner,Cunningham Park,Parking lot at Union Tpk and 196th Pl,40.7313000004,-73.7736999996,1046969.1216,205789.898181,,,Queens,
293,POINT (-73.77370000034783 40.73009999957519),QU,Limited Free,TimeWarner,Cunningham Park,Near Parking Lot and Tennis Courts,40.7300999996,-73.7737000003,1046970.25086,205352.701877,,,Queens,
294,POINT (-73.7731550000453 40.688603000161194),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B1,40.6886030002,-73.773155,1047160.45192,190234.533623,,,Queens,
295,POINT (-73.77304799955492 40.68848899993364),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B5,40.6884889999,-73.7730479996,1047190.23369,190193.077013,,,Queens,
296,POINT (-73.77272599990344 40.68757799991569),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Workout Room,40.6875779999,-73.7727259999,1047280.39427,189861.40576,,,Queens,
297,POINT (-73.77214699964624 40.68834299996599),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Center Office,40.688343,-73.7721469996,1047440.24434,190140.533811,,,Queens,
298,POINT (-73.77069999998774 40.67949999992535),QU,Limited Free,TimeWarner,Railroad Park,West of the Park,40.6794999999,-73.7707,1047849.97187,186919.830607,,,Queens,
299,POINT (-73.77051600045704 40.68520199959489),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Parking Lot next to basketball fields,40.6852019996,-73.7705160005,1047895.56463,188997.360572,,,Queens,
300,POINT (-73.77047300046961 40.68761099958146),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Maintenance Office,40.6876109996,-73.7704730005,1047905.19059,189875.057636,,,Queens,
301,POINT (-73.76989999958475 40.68720000042652),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,West of the Roy Wilkins Recreation Center,40.6872000004,-73.7698999996,1048064.49506,189725.736084,,,Queens,
302,POINT (-73.76987199964044 40.68715499964915),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Rehearsal Room,40.6871549996,-73.7698719996,1048072.30345,189709.361445,,,Queens,
303,POINT (-73.7697650005904 40.68731799976117),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Center Office,40.6873179998,-73.7697650006,1048101.82176,189768.824909,,,Queens,
304,POINT (-73.76961500027566 40.68704099959913),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Room B2,40.6870409996,-73.7696150003,1048143.68716,189668.015399,,,Queens,
305,POINT (-73.76959299998195 40.68629299987403),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Family Waiting Area,40.6862929999,-73.769593,1048150.50539,189395.514303,,,Queens,
306,POINT (-73.76939999978192 40.686699999844194),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Theater Lounge,40.6866999998,-73.7693999998,1048203.64111,189543.936579,,,Queens,
307,POINT (-73.76929299943906 40.6873179999844),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,Gymnasium,40.687318,-73.7692929994,1048232.72307,189769.169396,,,Queens,
308,POINT (-73.76886400030453 40.686975999976724),QU,Limited Free,TimeWarner,Roy Wilkins Recreation Center,"Food Pantry, Patio",40.686976,-73.7688640003,1048352.0273,189644.882899,,,Queens,
309,POINT (-73.76779999991035 40.68000000031094),QU,Limited Free,TimeWarner,Railroad Park,Track and Field - North of Park,40.6800000003,-73.7677999999,1048653.84789,187104.113374,,,Queens,
310,POINT (-73.76540000016526 40.67600000011919),QU,Limited Free,TimeWarner,Railroad Park,Southeast Entrance of Park,40.6760000001,-73.7654000002,1049323.42201,185648.577244,,,Queens,
311,POINT (-73.75160000052531 40.60210000016771),QU,Limited Free,TimeWarner,Sorrentino Recreation Center,Jeter Reading Room,40.6021000002,-73.7516000005,1053227.6081,158735.464403,,,Queens,
312,POINT (-73.7514419994294 40.6023699999769),QU,Limited Free,TimeWarner,Sorrentino Recreation Center,The Hallway between the Art and Game Room,40.60237,-73.7514419994,1053271.20381,158833.956332,,,Queens,
313,POINT (-73.75133200014555 40.60248199994383),QU,Limited Free,TimeWarner,Sorrentino Recreation Center,Gymnasium,40.6024819999,-73.7513320001,1053301.63321,158874.847327,,,Queens,
314,POINT (-73.75130000048418 40.60254799956941),QU,Limited Free,TimeWarner,Sorrentino Recreation Center,Computer Resource Center,40.6025479996,-73.7513000005,1053310.45078,158898.917816,,,Queens,
315,POINT (-73.86552800012059 40.73179199992481),QU,Limited Free,TimeWarner,Lost Battalion Hall Recreation Center,After School Room,40.7317919999,-73.8655280001,1021518.71187,205916.740119,,,Queens,
