num,Name,Location,YearRound,Handicap,Borough,Lat,Lon
323,K.L. Williams Playground (Tennis),"Liberty Avenue, 172-173 streets",Yes,No,Queens,40.7282239,-73.7948516
326,Kennedy King Playground,East 93 Street & Lenox Road,Yes,No,Brooklyn,40.6583333,-73.9222221
327,Kennedy Playground,Corp. Kennedy Street & 33 Avenue,Yes,No,Queens,40.7699431,-73.7793645
328,Kissena Corridor East (Underhill Playground),Peck Avenue & 188 Street,Yes,No,Queens,40.9852219,-73.6771619
329,Kissena Park,"Oak Avenue, 104th Street, & Kissena Lake Area",Yes,No,Queens,40.74604975,-73.8087549286525
330,Kissena Park (Tennis Courts),Rose & Oak avenues,Yes,No,Queens,40.7481027,-73.809911577103
332,Lawerence Virgilio Playground,39 Drive & 54 Street,Yes,Yes,Queens,40.7474497,-73.9108139
334,Levy Playground,Jewett & Castleton avenues,Yes,No,Staten Island,40.63391285,-74.1289248774397
335,Liberty Pool,173rd Street and 106th Avenue,No,Yes,Queens,40.7020409,-73.7831254
336,Lincoln Terrace Park,Buffalo Avenue/Protal Street/New York Avenue,Yes,No,Brooklyn,42.8864468,-78.8783689
337,Lincoln Terrace Park (Arthur S. Somers Playground),"East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue",Yes,No,Brooklyn,40.7127837,-74.0059413
338,Linden Park,"Stanley Avenue, Linden Boulevard",Yes,No,Brooklyn,40.6588889,-73.8872221
